0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:56 -0600] "GET /asf-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:56 -0600] "GET /bg-upper.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:56 -0600] "GET /bg-button.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:47:56 -0600] "GET /bg-middle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:48:03 -0600] "GET /csj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:48:03 -0600] "GET /csj/ HTTP/1.1" 200 1331
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:48:12 -0600] "GET /csj/HelloWorld HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [10/Jan/2017:09:48:41 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:10:13:18 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:10:13:18 -0600] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [10/Jan/2017:15:15:08 -0600] "GET / HTTP/1.1" 200 11243
0:0:0:0:0:0:0:1 - - [10/Jan/2017:15:15:21 -0600] "GET /csj/HelloWorld HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [10/Jan/2017:19:08:19 -0600] "GET / HTTP/1.1" 200 11243
